#redshift 	 LCOprime 
0.0	0.0
0.0004	40699.872045
0.0008	162836.568736
0.0012	366465.654013
0.0016	651642.61598
0.002	1018422.86692
0.0024	1466861.74334
0.0028	1997014.50594
0.0032	2608936.33973
0.0036	3302682.35394
0.004	4078307.58213
0.0044	4935866.98219
0.0048	5875415.43633
0.0052	6897007.75116
0.0056	8000698.65767
0.006	9186542.81126
0.0064	10454594.7918
0.0068	11804909.1036
0.0072	13237540.1754
0.0076	14752542.3606
0.008	16349969.937
0.0084	18029877.1071
0.0088	19792317.9979
0.0092	21637346.6609
0.0096	23565017.0724
0.01	25575383.1334
0.0104	27668498.6694
0.0108	29844417.4308
0.0112	32103193.0925
0.0116	34444879.2544
0.012	36869529.441
0.0124	39377197.1019
0.0128	41967935.611
0.0132	44641798.2677
0.0136	47398838.2957
0.014	50239108.8441
0.0144	53162662.9866
0.0148	56169553.722
0.0152	59259833.974
0.0156	62433556.5915
0.016	65690774.3483
0.0164	69031539.9431
0.0168	72455906.0001
0.0172	75963925.0682
0.0176	79555649.6217
0.018	83231132.06
0.0184	86990424.7077
0.0188	90833579.8146
0.0192	94760649.5557
0.0196	98771686.0314
0.02	102866741.267
0.0204	107045867.214
0.0208	111309115.749
0.0212	115656538.673
0.0216	120088187.713
0.022	124604114.521
0.0224	129204370.677
0.0228	133889007.683
0.0232	138658076.968
0.0236	143511629.887
0.024	148449717.72
0.0244	153472391.672
0.0248	158579702.876
0.0252	163771702.387
0.0256	169048441.19
0.026	174409970.191
0.0264	179856340.225
0.0268	185387602.053
0.0272	191003806.359
0.0276	196705003.755
0.028	202491244.779
0.0284	208362579.893
0.0288	214319059.488
0.0292	220360733.877
0.0296	226487653.303
0.03	232699867.931
0.0304	238997427.856
0.0308	245380383.095
0.0312	251848783.595
0.0316	258402679.227
0.032	265042119.787
0.0324	271767154.999
0.0328	278577834.514
0.0332	285474207.907
0.0336	292456324.681
0.034	299524234.263
0.0344	306677986.009
0.0348	313917629.2
0.0352	321243213.044
0.0356	328654786.673
0.036	336152399.15
0.0364	343736099.459
0.0368	351405936.516
0.0372	359161959.159
0.0376	367004216.155
0.038	374932756.196
0.0384	382947627.903
0.0388	391048879.822
0.0392	399236560.425
0.0396	407510718.112
0.04	415871401.209
0.0404	424318657.969
0.0408	432852536.572
0.0412	441473085.124
0.0416	450180351.66
0.042	458974384.139
0.0424	467855230.449
0.0428	476822938.404
0.0432	485877555.745
0.0436	495019130.14
0.044	504247709.184
0.0444	513563340.401
0.0448	522966071.239
0.0452	532455949.074
0.0456	542033021.211
0.046	551697334.88
0.0464	561448937.239
0.0468	571287875.374
0.0472	581214196.298
0.0476	591227946.95
0.048	601329174.197
0.0484	611517924.835
0.0488	621794245.585
0.0492	632158183.097
0.0496	642609783.948
0.05001	653149094.642
0.05041	663776161.612
0.05081	674491031.218
0.05121	685293749.745
0.05161	696184363.41
0.05201	707162918.355
0.05241	718229460.651
0.05281	729384036.294
0.05321	740626691.211
0.05361	751957471.256
0.05401	763376422.21
0.05441	774883589.783
0.05481	786479019.61
0.05521	798162757.259
0.05561	809934848.221
0.05601	821795337.917
0.05641	833744271.698
0.05681	845781694.839
0.05721	857907652.547
0.05761	870122189.955
0.05801	882425352.124
0.05841	894817184.044
0.05881	907297730.633
0.05921	919867036.737
0.05961	932525147.132
0.06001	945272106.519
0.06041	958107959.531
0.06081	971032750.726
0.06121	984046524.594
0.06161	997149325.55
0.06201	1010341197.94
0.06241	1023622186.04
0.06281	1036992334.04
0.06321	1050451686.09
0.06361	1064000286.24
0.06401	1077638178.47
0.06441	1091365406.71
0.06481	1105182014.8
0.06521	1119088046.52
0.06561	1133083545.56
0.06601	1147168555.56
0.06641	1161343120.09
0.06681	1175607282.62
0.06721	1189961086.59
0.06761	1204404575.33
0.06801	1218937792.13
0.06841	1233560780.18
0.06881	1248273582.63
0.06921	1263076242.55
0.06961	1277968802.91
0.07001	1292951306.65
0.07041	1308023796.61
0.07081	1323186315.58
0.07121	1338438906.27
0.07161	1353781611.32
0.07201	1369214473.29
0.07241	1384737534.69
0.07281	1400350837.94
0.07321	1416054425.4
0.07361	1431848339.36
0.07401	1447732622.03
0.07441	1463707315.56
0.07481	1479772462.03
0.07521	1495928103.44
0.07561	1512174281.72
0.07601	1528511038.74
0.07641	1544938416.29
0.07681	1561456456.11
0.07721	1578065199.83
0.07761	1594764689.06
0.07801	1611554965.3
0.07841	1628436069.99
0.07881	1645408044.51
0.07921	1662470930.16
0.07961	1679624768.18
0.08001	1696869599.73
0.08041	1714205465.9
0.08081	1731632407.73
0.08121	1749150466.16
0.08161	1766759682.08
0.08201	1784460096.3
0.08241	1802251749.58
0.08281	1820134682.58
0.08321	1838108935.91
0.08361	1856174550.11
0.08401	1874331565.65
0.08441	1892580022.92
0.08481	1910919962.26
0.08521	1929351423.91
0.08561	1947874448.08
0.08601	1966489074.87
0.08641	1985195344.35
0.08681	2003993296.49
0.08721	2022882971.21
0.08761	2041864408.34
0.08801	2060937647.67
0.08841	2080102728.89
0.08881	2099359691.65
0.08921	2118708575.51
0.08961	2138149419.97
0.09001	2157682264.45
0.09041	2177307148.32
0.09081	2197024110.87
0.09121	2216833191.32
0.09161	2236734428.82
0.09201	2256727862.46
0.09241	2276813531.26
0.09281	2296991474.15
0.09321	2317261730.03
0.09361	2337624337.69
0.09401	2358079335.89
0.09441	2378626763.29
0.09481	2399266658.5
0.09521	2419999060.05
0.09561	2440824006.42
0.09601	2461741535.99
0.09641	2482751687.11
0.09681	2503854498.04
0.09721	2525050006.96
0.09761	2546338252.0
0.09801	2567719271.23
0.09841	2589193102.63
0.09881	2610759784.12
0.09921	2632419353.56
0.09961	2654171848.74
0.10001	2676017307.36
0.10041	2697955767.08
0.10081	2719987265.48
0.10121	2742111840.08
0.10161	2764329528.32
0.10201	2786640367.58
0.10241	2809044395.17
0.10281	2831541648.33
0.10321	2854132164.24
0.10361	2876815980.0
0.10401	2899593132.66
0.10441	2922463659.18
0.10481	2945427596.48
0.10521	2968484981.38
0.10561	2991635850.67
0.10601	3014880241.03
0.10641	3038218189.11
0.10681	3061649731.48
0.10721	3085174904.63
0.10761	3108793745.0
0.10801	3132506288.95
0.10841	3156312572.79
0.10881	3180212632.74
0.10921	3204206504.97
0.10961	3228294225.58
0.11001	3252475830.6
0.11041	3276751355.99
0.11081	3301120837.65
0.11121	3325584311.42
0.11161	3350141813.04
0.11201	3374793378.23
0.11241	3399539042.6
0.11281	3424378841.73
0.11321	3449312811.11
0.11361	3474340986.16
0.11401	3499463402.26
0.11441	3524680094.7
0.11481	3549991098.71
0.11521	3575396449.45
0.11561	3600896182.02
0.11601	3626490331.46
0.11641	3652178932.72
0.11681	3677962020.71
0.11721	3703839630.25
0.11761	3729811796.12
0.11801	3755878553.01
0.11841	3782039935.55
0.11881	3808295978.32
0.11921	3834646715.82
0.11961	3861092182.48
0.12001	3887632412.67
0.12041	3914267440.7
0.12081	3940997300.8
0.12121	3967822027.14
0.12161	3994741653.84
0.12201	4021756214.93
0.12241	4048865744.38
0.12281	4076070276.12
0.12321	4103369843.97
0.12361	4130764481.72
0.12401	4158254223.08
0.12441	4185839101.7
0.12481	4213519151.15
0.12521	4241294404.97
0.12561	4269164896.58
0.12601	4297130659.39
0.12641	4325191726.71
0.12681	4353348131.8
0.12721	4381599907.85
0.12761	4409947087.97
0.12801	4438389705.24
0.12841	4466927792.64
0.12881	4495561383.11
0.12921	4524290509.51
0.12961	4553115204.63
0.13001	4582035501.22
0.13041	4611051431.94
0.13081	4640163029.4
0.13121	4669370326.14
0.13161	4698673354.63
0.13201	4728072147.29
0.13241	4757566736.46
0.13281	4787157154.42
0.13321	4816843433.4
0.13361	4846625605.53
0.13401	4876503702.92
0.13441	4906477757.58
0.13481	4936547801.47
0.13521	4966713866.49
0.13561	4996975984.48
0.13601	5027334187.19
0.13641	5057788506.32
0.13681	5088338973.53
0.13721	5118985620.37
0.13761	5149728478.36
0.13801	5180567578.96
0.13841	5211502953.52
0.13881	5242534633.39
0.13921	5273662649.81
0.13961	5304887033.96
0.14001	5336207816.99
0.14041	5367625029.94
0.14081	5399138703.82
0.14121	5430748869.57
0.14161	5462455558.05
0.14201	5494258800.08
0.14241	5526158626.39
0.14281	5558155067.68
0.14321	5590248154.55
0.14361	5622437917.56
0.14401	5654724387.21
0.14441	5687107593.91
0.14481	5719587568.04
0.14521	5752164339.89
0.14561	5784837939.7
0.14601	5817608397.66
0.14641	5850475743.85
0.14681	5883440008.35
0.14721	5916501221.13
0.14761	5949659412.11
0.14801	5982914611.16
0.14841	6016266848.07
0.14881	6049716152.58
0.14921	6083262554.35
0.14961	6116906082.99
0.15002	6150646768.06
0.15042	6184484639.02
0.15082	6218419725.31
0.15122	6252452056.29
0.15162	6286581661.23
0.15202	6320808569.39
0.15242	6355132809.92
0.15282	6389554411.95
0.15322	6424073404.5
0.15362	6458689816.57
0.15402	6493403677.08
0.15442	6528215014.88
0.15482	6563123858.78
0.15522	6598130237.5
0.15562	6633234179.73
0.15602	6668435714.06
0.15642	6703734869.05
0.15682	6739131673.19
0.15722	6774626154.89
0.15762	6810218342.53
0.15802	6845908264.4
