#redshift 	 LCOprime 
0.0	0.0
0.00501	6387462.28497
0.01001	25621614.2979
0.01502	57808715.7426
0.02002	103053181.603
0.02503	161457589.89
0.03003	233122689.706
0.03504	318147409.599
0.04004	416628866.224
0.04505	528662373.287
0.05005	654341450.772
0.05506	793757834.44
0.06006	947001485.604
0.06507	1114160601.16
0.07007	1295321623.85
0.07508	1490569252.83
0.08008	1699986454.42
0.08509	1923654473.1
0.09009	2161652842.74
0.0951	2414059398.05
0.1001	2680950286.26
0.10511	2962399978.92
0.11011	3258481284.03
0.11512	3569265358.23
0.12012	3894821719.25
0.12513	4235218258.51
0.13013	4590521253.91
0.13514	4960795382.72
0.14014	5346103734.72
0.14515	5746507825.4
0.15015	6162067609.34
0.15516	6592841493.72
0.16016	7038886351.97
0.16517	7500257537.49
0.17017	7977008897.57
0.17518	8469192787.3
0.18018	8976860083.72
0.18519	9500060199.91
0.19019	10038841099.3
0.1952	10593249310.1
0.2002	11163329939.4
0.20521	11749126688.0
0.21021	12350681864.9
0.21522	12968036401.6
0.22022	13601229867.1
0.22523	14250300482.6
0.23023	14915285135.7
0.23524	15596219396.1
0.24024	16293137529.6
0.24525	17006072513.1
0.25025	17735056049.8
0.25526	18480118583.7
0.26026	19241289314.6
0.26527	20018596212.8
0.27027	20812066034.3
0.27528	21621724335.4
0.28028	22447595487.5
0.28529	23289702692.1
0.29029	24148067995.7
0.2953	25022712304.1
0.3003	25913655397.8
0.30531	26820915946.3
0.31031	27744511522.9
0.31532	28684458619.4
0.32032	29640772660.6
0.32533	30613468018.8
0.33033	31602558028.7
0.33534	32608055001.4
0.34034	33629970238.9
0.34535	34668314048.6
0.35035	35723095757.3
0.35536	36794323725.7
0.36036	37882005362.2
0.36537	38986147137.4
0.37037	40106754597.4
0.37538	41243832378.4
0.38038	42397384220.2
0.38539	43567412979.6
0.39039	44753920644.7
0.3954	45956908348.2
0.4004	47176376380.5
0.40541	48412324203.5
0.41041	49664750463.9
0.41542	50933653006.1
0.42042	52219028885.5
0.42543	53520874381.1
0.43043	54839185009.2
0.43544	56173955535.3
0.44044	57525179987.3
0.44545	58892851667.8
0.45045	60276963166.6
0.45546	61677506373.5
0.46046	63094472489.7
0.46547	64527852040.7
0.47047	65977634887.9
0.47548	67443810240.8
0.48048	68926366668.3
0.48549	70425292111.0
0.49049	71940573892.3
0.4955	73472198730.2
0.5005	75020152748.2
0.50551	76584421487.1
0.51051	78164989915.6
0.51552	79761842441.3
0.52052	81374962922.0
0.52553	83004334676.1
0.53053	84649940493.3
0.53554	86311762645.0
0.54054	87989782895.0
0.54555	89683982509.4
0.55055	91394342267.0
0.55556	93120842469.4
0.56056	94863462950.7
0.56557	96622183087.4
0.57057	98396981807.9
0.57558	100187837602.0
0.58058	101994728532.0
0.58559	103817632240.0
0.59059	105656525955.0
0.5956	107511386509.0
0.6006	109382190338.0
0.60561	111268913499.0
0.61061	113171531669.0
0.61562	115090020162.0
0.62062	117024353935.0
0.62563	118974507593.0
0.63063	120940455404.0
0.63564	122922171299.0
0.64064	124919628888.0
0.64565	126932801463.0
0.65065	128961662005.0
0.65566	131006183199.0
0.66066	133066337430.0
0.66567	135142096803.0
0.67067	137233433141.0
0.67568	139340317996.0
0.68068	141462722656.0
0.68569	143600618154.0
0.69069	145753975270.0
0.6957	147922764542.0
0.7007	150106956273.0
0.70571	152306520534.0
0.71071	154521427173.0
0.71572	156751645824.0
0.72072	158997145907.0
0.72573	161257896641.0
0.73073	163533867045.0
0.73574	165825025947.0
0.74074	168131341988.0
0.74575	170452783632.0
0.75075	172789319166.0
0.75576	175140916708.0
0.76076	177507544216.0
0.76577	179889169488.0
0.77077	182285760172.0
0.77578	184697283767.0
0.78078	187123707633.0
0.78579	189564998991.0
0.79079	192021124934.0
0.7958	194492052426.0
0.8008	196977748311.0
0.80581	199478179317.0
0.81081	201993312058.0
0.81582	204523113043.0
0.82082	207067548678.0
0.82583	209626585270.0
0.83083	212200189033.0
0.83584	214788326090.0
0.84084	217390962483.0
0.84585	220008064168.0
0.85085	222639597028.0
0.85586	225285526870.0
0.86086	227945819435.0
0.86587	230620440397.0
0.87087	233309355370.0
0.87588	236012529910.0
0.88088	238729929518.0
0.88589	241461519648.0
0.89089	244207265704.0
0.8959	246967133048.0
0.9009	249741087003.0
0.90591	252529092855.0
0.91091	255331115857.0
0.91592	258147121230.0
0.92092	260977074171.0
0.92593	263820939852.0
0.93093	266678683425.0
0.93594	269550270022.0
0.94094	272435664763.0
0.94595	275334832753.0
0.95095	278247739091.0
0.95596	281174348868.0
0.96096	284114627169.0
0.96597	287068539082.0
0.97097	290036049692.0
0.97598	293017124092.0
0.98098	296011727379.0
0.98599	299019824658.0
0.99099	302041381048.0
0.996	305076361678.0
1.001	308124731694.0
1.00601	311186456262.0
1.01101	314261500565.0
1.01602	317349829810.0
1.02102	320451409227.0
1.02603	323566204074.0
1.03103	326694179635.0
1.03604	329835301227.0
1.04104	332989534196.0
1.04605	336156843924.0
1.05105	339337195828.0
1.05606	342530555363.0
1.06106	345736888024.0
1.06607	348956159344.0
1.07107	352188334902.0
1.07608	355433380319.0
1.08108	358691261263.0
1.08609	361961943449.0
1.09109	365245392640.0
1.0961	368541574650.0
1.1011	371850455346.0
1.10611	375172000645.0
1.11111	378506176521.0
1.11612	381852949004.0
1.12112	385212284178.0
1.12613	388584148189.0
1.13113	391968507240.0
1.13614	395365327597.0
1.14114	398774575586.0
1.14615	402196217596.0
1.15115	405630220082.0
1.15616	409076549562.0
1.16116	412535172623.0
1.16617	416006055916.0
1.17117	419489166163.0
1.17618	422984470154.0
1.18118	426491934749.0
1.18619	430011526881.0
1.19119	433543213551.0
1.1962	437086961838.0
1.2012	440642738891.0
1.20621	444210511933.0
1.21121	447790248267.0
1.21622	451381915266.0
1.22122	454985480383.0
1.22623	458600911149.0
1.23123	462228175172.0
1.23624	465867240140.0
1.24124	469518073817.0
1.24625	473180644052.0
1.25125	476854918772.0
1.25626	480540865985.0
1.26126	484238453782.0
1.26627	487947650336.0
1.27127	491668423904.0
1.27628	495400742825.0
1.28128	499144575522.0
1.28629	502899890503.0
1.29129	506666656361.0
1.2963	510444841775.0
1.3013	514234415508.0
1.30631	518035346410.0
1.31131	521847603418.0
1.31632	525671155556.0
1.32132	529505971934.0
1.32633	533352021751.0
1.33133	537209274293.0
1.33634	541077698936.0
