#Galaxies from Shark (Lagos et al. 2018, 2019) using CO modelling of Lagos et al. (2012)
#CO LFs for lines (1-0) to (10-9)
#Units of CO luminosity in [Jy km/s Mpc^2] and presented in log10
#Units number density [Mpc^-3 dex^-1] and presented in log10
#log10(LCO) logn1-0 logn2-1 logn3-2 logn4-3 logn5-4 logn6-5 logn7-6 logn8-7 logn9-8 logn10-9
 4.12 -1.06 -0.63 -0.59 -0.60 -0.60 -0.77 -1.20 -1.66 -1.79 -1.82
 4.38 -1.25 -0.74 -0.62 -0.60 -0.67 -0.93 -1.41 -1.75 -1.81 -1.88
 4.62 -1.43 -0.90 -0.72 -0.69 -0.79 -1.10 -1.59 -1.80 -1.82 -2.06
 4.88 -1.58 -1.08 -0.88 -0.84 -0.96 -1.31 -1.71 -1.83 -1.82 -2.38
 5.12 -1.70 -1.27 -1.06 -1.02 -1.14 -1.51 -1.79 -1.84 -1.85 -2.79
 5.38 -1.78 -1.45 -1.25 -1.21 -1.35 -1.66 -1.84 -1.84 -1.95 -3.19
 5.62 -1.83 -1.60 -1.43 -1.40 -1.53 -1.76 -1.87 -1.84 -2.23 -3.58
 5.88 -1.86 -1.71 -1.59 -1.56 -1.66 -1.82 -1.87 -1.84 -2.64 -3.89
 6.12 -1.87 -1.78 -1.70 -1.68 -1.76 -1.87 -1.87 -1.89 -3.09 -4.32
 6.38 -1.88 -1.83 -1.77 -1.77 -1.82 -1.89 -1.86 -2.09 -3.52 -4.66
 6.62 -1.87 -1.85 -1.82 -1.82 -1.86 -1.89 -1.86 -2.46 -3.89 -5.52
 6.88 -1.88 -1.86 -1.85 -1.85 -1.88 -1.89 -1.88 -2.96 -4.26 -5.41
 7.12 -1.94 -1.85 -1.86 -1.86 -1.88 -1.87 -2.03 -3.44 -4.71 -5.52
 7.38 -2.14 -1.85 -1.85 -1.86 -1.87 -1.88 -2.36 -3.87 -5.29 -6.36
 7.62 -2.52 -1.88 -1.84 -1.85 -1.86 -1.92 -2.85 -4.27 -5.46  Nan
 7.88 -2.97 -2.01 -1.87 -1.86 -1.89 -2.11 -3.37 -4.72 -5.59  Nan
 8.12 -3.49 -2.32 -2.00 -1.94 -2.00 -2.51 -3.87 -5.22 -6.06  Nan
 8.38 -4.00 -2.76 -2.31 -2.18 -2.31 -3.01 -4.34 -5.46  Nan  Nan
 8.62 -4.44 -3.23 -2.74 -2.59 -2.76 -3.58 -4.70 -5.76  Nan  Nan
 8.88 -4.89 -3.78 -3.22 -3.05 -3.27 -4.06 -5.13 -5.89  Nan  Nan
 9.12 -5.25 -4.21 -3.76 -3.61 -3.82 -4.55 -5.67  Nan  Nan  Nan
 9.38 -5.52 -4.70 -4.21 -4.09 -4.25 -4.81 -5.67  Nan  Nan  Nan
 9.62 -6.36 -5.02 -4.67 -4.56 -4.69 -5.36 -6.36  Nan  Nan  Nan
 9.88 -6.36 -5.52 -5.06 -4.83 -5.09 -5.67 -6.36  Nan  Nan  Nan
10.12  Nan -5.76 -5.52 -5.59 -5.59 -5.76  Nan  Nan  Nan  Nan
10.38  Nan -6.36 -5.67 -5.52 -5.76 -6.36  Nan  Nan  Nan  Nan
10.62  Nan  Nan  Nan -6.36 -6.36  Nan  Nan  Nan  Nan  Nan
10.88  Nan  Nan -6.36 -6.36 -6.36  Nan  Nan  Nan  Nan  Nan
11.12  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.38  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.62  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
11.88  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan  Nan
