#Galaxies from Shark (Lagos et al. 2018, 2019) using CO modelling of Lagos et al. (2012)
#CO LFs for lines (1-0) to (10-9)
#Units of CO luminosity in [Jy km/s Mpc^2] and presented in log10
#Units number density [Mpc^-3 dex^-1] and presented in log10
#log10(LCO) logn1-0 logn2-1 logn3-2 logn4-3 logn5-4 logn6-5 logn7-6 logn8-7 logn9-8 logn10-9
 4.12 -1.12 -0.87 -0.92 -0.92 -0.87 -0.95 -1.38 -1.71 -1.80 -1.97
 4.38 -1.31 -0.88 -0.85 -0.86 -0.85 -1.09 -1.56 -1.76 -1.80 -2.17
 4.62 -1.49 -1.00 -0.87 -0.85 -0.93 -1.26 -1.68 -1.80 -1.82 -2.47
 4.88 -1.63 -1.17 -0.99 -0.97 -1.08 -1.47 -1.74 -1.82 -1.90 -2.86
 5.12 -1.73 -1.36 -1.16 -1.13 -1.27 -1.63 -1.79 -1.82 -2.05 -3.27
 5.38 -1.78 -1.53 -1.35 -1.32 -1.47 -1.72 -1.82 -1.83 -2.32 -3.64
 5.62 -1.81 -1.65 -1.53 -1.50 -1.62 -1.78 -1.83 -1.85 -2.70 -4.00
 5.88 -1.81 -1.73 -1.65 -1.64 -1.72 -1.81 -1.84 -1.96 -3.13 -4.33
 6.12 -1.81 -1.77 -1.72 -1.72 -1.77 -1.83 -1.85 -2.17 -3.57 -4.65
 6.38 -1.82 -1.79 -1.77 -1.77 -1.81 -1.83 -1.86 -2.51 -3.93 -4.97
 6.62 -1.85 -1.79 -1.79 -1.79 -1.82 -1.84 -1.91 -2.95 -4.33 -5.25
 6.88 -1.90 -1.80 -1.79 -1.80 -1.82 -1.86 -2.08 -3.43 -4.64 -5.67
 7.12 -2.07 -1.82 -1.80 -1.80 -1.83 -1.88 -2.40 -3.88 -4.97 -5.89
 7.38 -2.41 -1.86 -1.82 -1.82 -1.85 -1.93 -2.82 -4.28 -5.19  -99
 7.62 -2.83 -1.97 -1.85 -1.85 -1.88 -2.13 -3.32 -4.57 -5.89 -6.36
 7.88 -3.32 -2.24 -1.96 -1.92 -1.98 -2.48 -3.84 -5.00 -5.89  -99
 8.12 -3.83 -2.64 -2.23 -2.13 -2.27 -2.94 -4.27 -5.13  -99  -99
 8.38 -4.29 -3.10 -2.63 -2.50 -2.67 -3.47 -4.57 -6.06 -6.36  -99
 8.62 -4.78 -3.61 -3.09 -2.95 -3.16 -3.94 -4.97 -5.89  -99  -99
 8.88 -5.16 -4.10 -3.61 -3.46 -3.68 -4.44 -5.22 -6.36  -99  -99
 9.12 -5.32 -4.53 -4.10 -3.96 -4.15 -4.71 -5.76  -99  -99  -99
 9.38 -5.76 -4.97 -4.51 -4.34 -4.58 -5.13 -6.06  -99  -99  -99
 9.62  -99 -5.13 -4.93 -4.82 -4.95 -5.32 -6.36  -99  -99  -99
 9.88  -99 -5.59 -5.13 -5.19 -5.22 -5.89  -99  -99  -99  -99
10.12  -99 -5.89 -5.59 -5.32 -5.52 -6.36  -99  -99  -99  -99
10.38  -99  -99 -5.89 -5.89 -6.36  -99  -99  -99  -99  -99
10.62  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
10.88  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.12  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.38  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.62  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
11.88  -99  -99  -99  -99  -99  -99  -99  -99  -99  -99
