#cubename 	 field 	 f1[GHz] 	 f2[GHz] 	 time[sec]
uid___A001_X10d_X5c.cube_0.J2148+0657_B7 	 J2148+0657 	 357.625439191 	 359.484814191 	 2674.9440012
uid___A001_X10d_X5c.cube_1.J2148+0657_B7 	 J2148+0657 	 358.979939192 	 360.839314192 	 2674.9440012
uid___A001_X10d_X5c.cube_2.J2148+0657_B7 	 J2148+0657 	 348.776814191 	 346.917439191 	 2674.9440012
uid___A001_X10e_X1fa.cube_0.J1733-1304_B6 	 J1733-1304 	 242.0071875 	 240.1478125 	 3101.75999832
uid___A001_X10e_X1fa.cube_1.J1733-1304_B6 	 J1733-1304 	 243.8821875 	 242.0228125 	 3101.75999832
uid___A001_X10e_X1fa.cube_2.J1733-1304_B6 	 J1733-1304 	 256.1478125 	 258.0071875 	 3101.75999832
uid___A001_X10e_X1fa.cube_3.J1733-1304_B6 	 J1733-1304 	 258.0228125 	 259.8821875 	 3101.75999832
uid___A001_X10e_X256.cube_01.J1337-1257_B7 	 J1337-1257 	 344.857198411 	 348.779073411 	 2657.9519987
uid___A001_X10e_X256.cube_23.J1337-1257_B7 	 J1337-1257 	 336.716573411 	 332.794698411 	 2657.9519987
uid___A001_X10e_X7ae.cube_0.J1256-0547_B8 	 J1256-0547 	 431.934663572 	 433.762788572 	 4012.41600036
uid___A001_X10e_X7ae.cube_1.J1256-0547_B8 	 J1256-0547 	 430.351663572 	 432.179788572 	 4012.41600036
uid___A001_X10e_X7ae.cube_2.J1256-0547_B8 	 J1256-0547 	 421.679788572 	 419.851663572 	 4012.41600036
uid___A001_X10f_Xb7.cube_01.J0510+1800_B6 	 J0510+1800 	 219.963617677 	 215.979242677 	 2635.39200115
uid___A001_X10f_Xb7.cube_23.J0510+1800_B6 	 J0510+1800 	 230.979284928 	 234.963659928 	 2635.39200115
uid___A001_X111_X172.cube_01.J2232+1143_B8 	 J2232+1143 	 412.106161836 	 415.637411836 	 2837.08800031
uid___A001_X111_X172.cube_23.J2232+1143_B8 	 J2232+1143 	 403.632536836 	 400.085661836 	 2837.08800031
uid___A001_X198_X28.cube_01.J0237+2848_B7 	 J0237+2848 	 363.292619662 	 367.026994662 	 2712.67200088
uid___A001_X198_X28.cube_23.J0237+2848_B7 	 J0237+2848 	 355.109994662 	 351.375619662 	 2712.67200088
uid___A001_X198_X6d.cube_01.J1225+1253_B3 	 J1225+1253 	 103.851257899 	 99.882507899 	 3870.71999264
uid___A001_X1ad_Xb.cube_0.J0510+1800_B7 	 J0510+1800 	 333.977685439 	 331.993310439 	 4826.49599744
uid___A001_X1ad_Xb.cube_1.J0510+1800_B7 	 J0510+1800 	 342.993310439 	 344.977685439 	 4826.49599744
uid___A001_X1b1_X74.cube_03.J1924-2914_B7 	 J1924-2914 	 294.911612687 	 297.770987687 	 14467.5840006
uid___A001_X1b1_X74.cube_1.J1924-2914_B7 	 J1924-2914 	 282.884649068 	 281.962774068 	 14467.5840006
uid___A001_X1b1_X74.cube_2.J1924-2914_B7 	 J1924-2914 	 284.984480851 	 284.062605851 	 14467.5840006
uid___A001_X1b1_Xba_01.cube_01.J0348-2749_B6 	 J0348-2749 	 247.984003967 	 244.124628967 	 3810.23999691
uid___A001_X1b1_Xba_01.cube_23.J0348-2749_B6 	 J0348-2749 	 259.124434153 	 262.983809153 	 3810.23999691
uid___A001_X1b1_Xba_02.cube_01.J0334-4008_B6 	 J0334-4008 	 256.967242288 	 253.123492288 	 3439.29599953
uid___A001_X1b1_Xba_02.cube_01.J0348-2749_B6 	 J0348-2749 	 256.982867288 	 253.123492288 	 4713.40799332
uid___A001_X1b1_Xba_02.cube_23.J0334-4008_B6 	 J0334-4008 	 268.123237278 	 271.966987278 	 3439.29599953
uid___A001_X1b1_Xba_02.cube_23.J0348-2749_B6 	 J0348-2749 	 268.123237278 	 271.982612278 	 4713.40799332
uid___A001_X1b1_Xd.cube_01.J1924-2914_B7 	 J1924-2914 	 347.944871352 	 344.210496352 	 3601.72800065
uid___A001_X1b1_Xd.cube_23.J1924-2914_B7 	 J1924-2914 	 356.085496352 	 359.944871352 	 3601.72800065
uid___A001_X1ed_X108a.cube_01.J1832-2039_B7 	 J1832-2039 	 339.41645 	 335.5102 	 3640.89600563
